XRP,Thu Oct 26 15:41:17 2017,3.419e-05,251789.62516138,3.43e-05,778000.97256843,-2.16e-06,-0.0216,3.415e-05,3.415e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:41:28 2017,3.418e-05,243754.05040009,3.427e-05,790909.29464257,-2.01e-06,-0.0201,3.43e-05,3.43e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:41:37 2017,3.418e-05,296694.86705559,3.424e-05,794784.41814647,-2.01e-06,-0.0201,3.43e-05,3.43e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:41:47 2017,3.422e-05,246913.49099248,3.427e-05,789637.85238805,-2.01e-06,-0.0201,3.43e-05,3.43e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:41:57 2017,3.419e-05,291846.56672632,3.425e-05,769497.56611526,-2.01e-06,-0.0201,3.43e-05,3.43e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:42:07 2017,3.417e-05,292954.36844268,3.426e-05,779751.7358203,-2.01e-06,-0.0201,3.43e-05,3.43e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:42:17 2017,3.418e-05,296125.76998823,3.426e-05,779751.7358203,-2.01e-06,-0.0201,3.43e-05,3.43e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:42:27 2017,3.42e-05,248960.7514957,3.427e-05,720851.51100933,-2.01e-06,-0.0201,3.43e-05,3.43e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:43:07 2017,3.42e-05,246143.1461759,3.43e-05,668152.16257142,-2.01e-06,-0.0201,3.43e-05,3.43e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:43:17 2017,3.421e-05,256306.97294929,3.426e-05,767807.06428695,-2.01e-06,-0.0201,3.43e-05,3.43e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:43:27 2017,3.419e-05,292379.75853263,3.426e-05,829477.96140715,-2.01e-06,-0.0201,3.43e-05,3.43e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:43:37 2017,3.42e-05,299097.06442176,3.426e-05,771596.99494708,-2.01e-06,-0.0201,3.43e-05,3.43e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:43:47 2017,3.42e-05,256870.57560837,3.427e-05,774428.36498441,-2.01e-06,-0.0201,3.43e-05,3.43e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:43:57 2017,3.42e-05,299668.96698709,3.427e-05,792806.43957738,-2.01e-06,-0.0201,3.43e-05,3.43e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:44:07 2017,3.42e-05,247569.662687,3.426e-05,787434.84975768,-2.01e-06,-0.0201,3.43e-05,3.43e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:44:17 2017,3.42e-05,296568.31415157,3.426e-05,787434.84975768,-2.01e-06,-0.0201,3.43e-05,3.43e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:44:27 2017,3.42e-05,248563.69276704,3.424e-05,769846.82246646,-2.01e-06,-0.0201,3.43e-05,3.43e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:44:37 2017,3.421e-05,252235.99883305,3.426e-05,738087.12048281,-2.01e-06,-0.0201,3.43e-05,3.43e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:44:47 2017,3.424e-05,353573.72542599,3.432e-05,736695.82156919,-2.11e-06,-0.0211,3.42e-05,3.42e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:44:57 2017,3.424e-05,294912.71673261,3.432e-05,723573.4675692,-2.11e-06,-0.0211,3.42e-05,3.42e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:45:07 2017,3.424e-05,292908.48177284,3.431e-05,722432.27522042,-2.11e-06,-0.0211,3.42e-05,3.42e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:45:17 2017,3.424e-05,294745.20867174,3.43e-05,755734.47247096,-2.11e-06,-0.0211,3.42e-05,3.42e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:45:27 2017,3.424e-05,300194.84403407,3.427e-05,769721.00724609,-2.11e-06,-0.0211,3.42e-05,3.42e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:45:37 2017,3.425e-05,296475.14933638,3.427e-05,769721.00724609,-2.11e-06,-0.0211,3.42e-05,3.42e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:45:47 2017,3.424e-05,288550.16361109,3.425e-05,792376.30048229,-2.11e-06,-0.0211,3.42e-05,3.42e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:45:57 2017,3.424e-05,347889.05710406,3.425e-05,772581.49552103,-2.11e-06,-0.0211,3.42e-05,3.42e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:46:07 2017,3.424e-05,356377.89509903,3.426e-05,711038.99116368,-2.11e-06,-0.0211,3.42e-05,3.42e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:46:17 2017,3.424e-05,318677.35722243,3.427e-05,787221.10707518,-2.11e-06,-0.0211,3.42e-05,3.42e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:46:27 2017,3.424e-05,305758.95816612,3.427e-05,736492.67963211,-2.11e-06,-0.0211,3.42e-05,3.42e-05,3.652e-05,3.382e-05
XRP,Thu Oct 26 15:46:37 2017,3.424e-05,302696.52297133,3.427e-05,738817.30575372,-2.11e-06,-0.0211,3.42e-05,3.42e-05,3.652e-05,3.382e-05
